codigo_apa,descricao,data_inici,latitude,longitude,morada,codigo_pos,localidade,geometry
L141279,REE CML - PP - Calçada da Boa Hora 155,2021-08-06,38.7035495,-9.1943101,"Calçada da Boa Hora, 155",1300-103,Lisboa,POINT (-9.194310099999996 38.70354950000001)
L141280,"REE CML - PP - Bairro do Alvito, 49",2021-08-06,38.7141179,-9.181387,"Bairro do Alvito, 49 2º esq",1300-052,Lisboa,POINT (-9.181386999999972 38.71411790000002)
L141281,"REE CML - PP - R Coronel Pereira da Silva, 38",2021-08-06,38.704078,-9.1989233,"R Coronel Pereira da Silva, Nº 38 R/c Esq",1300-011,Lisboa,POINT (-9.19892329999999 38.70407799999998)
L141282,"REE CML - PP - R Cruzeiro, 44",2021-08-06,38.7061906,-9.1902875,"R Cruzeiro, 44-44A 2º Frente",1300-150,Lisboa,POINT (-9.19028750000001 38.70619060000001)
L141284,"REE CML - PP - Rua Tristão Vaz, 1",2021-08-06,38.7080951,-9.2060094,"Rua Tristão Vaz, 1",1400-351,Lisboa,POINT (-9.206009400000028 38.70809509999998)
L141285,"REE CML - PP - R Primeiro de Maio, 142",2021-08-06,38.7022171,-9.1807953,"R Primeiro de Maio, 142 4º direito",1300-515,Lisboa,POINT (-9.1807953 38.702217099999984)
L141287,"REE CML - PP - R Dom João de Castro, 12",2021-08-06,38.7040344,-9.1909064,"R Dom João de Castro, 12 1º andar",1300-044,Lisboa,POINT (-9.190906400000017 38.70403440000001)
L141289,REE CML - PP - R. Clube Atlético e Recreativo do Caramão 26,2021-08-06,38.7117197,-9.205098,R. Clube Atlético e Recreativo do Caramão 26,1400-067,Lisboa,POINT (-9.20509800000002 38.7117197)
L141290,"REE CML - PP - R Fernão Mendes Pinto, 30",2021-08-06,38.6957362,-9.2202658,"R Fernão Mendes Pinto, 30",1400-146,Lisboa,POINT (-9.220265799999993 38.6957362)
L141292,"REE CML - PP - R Fonseca de Benevides, 19",2021-08-06,38.7100201,-9.1906534,"R Fonseca de Benevides, Lote 19  1º A",1300-253,Lisboa,POINT (-9.190653399999974 38.71002010000001)
L141294,"REE CML - PP - R Bica do Marquês, 45",2021-08-06,38.7047453,-9.1989969,"R Bica do Marquês, 45B - 2º. Dtº",1300-146,Lisboa,POINT (-9.198996899999997 38.70474530000001)
L141295,"REE CML - PP - Calçada do Galvão, 8",2021-08-06,38.7019549,-9.2023386,"Calçada do Galvão, 8 - 1º Esq",1400-171,Lisboa,POINT (-9.202338600000019 38.701954899999976)
L141296,"REE CML - PP - R João de Lemos, 3",2021-08-06,38.7029628,-9.1816764,"R João de Lemos, 3 - 1º andar",1300-509,Lisboa,POINT (-9.181676400000015 38.70296280000002)
L141297,"REE CML - PP - Av Ilha da Madeira, 28",2021-08-06,38.7057554,-9.2074188,"Avenida da Ilha da Madeira, 28C",1400-204,Lisboa,POINT (-9.207418800000028 38.70575539999999)
L141298,"REE CML - PP - R Lusíadas, 19",2021-08-06,38.7054051,-9.1796527,"R Lusíadas, 19 - 4º Drt",1300-366,Lisboa,POINT (-9.17965270000002 38.70540510000001)
L141299,"REE CML - PP - Tv dos Fornos, 9",2021-08-06,38.7063807,-9.1896,"Tv dos Fornos, 9A, 6º esq",1300-258,Lisboa,POINT (-9.189599999999984 38.70638070000001)
L142528,"CML - PP - R dos Lusíadas, 135",2021-09-02,38.7030556,-9.1835342,"R dos Lusíadas, 135",1300-369,Lisboa,POINT (-9.183534199999997 38.70305560000003)
L142529,"CML - PP - Rua Tristão Vaz, 59",2021-09-02,38.7089672,-9.2081242,"Rua Tristão Vaz, 59",1400-350,Lisboa,POINT (-9.208124199999986 38.70896720000002)
